Video 1:
<1492.0 second> 所有的修辞的用法
<1493.0 second> 告诉你你的作文该去什么地方
<1494.0 second> 今天只能说单词语法怎么不错
<1497.0 second> 看着我同学们
<1498.0 second> 写作单词正确是很简单的
<1501.0 second> 我怎么不能正确
<1503.0 second> 哎呀举个例子同学们
<1504.0 second> 来给一个外国教授推荐一本书
<1507.0 second> 推荐什么书你
<1509.0 second> 推荐一本书来推荐一本书
<1511.0 second> 你推荐下西游记
<1512.0 second> 你说书的名字
<1513.0 second> 当年很多人写的是go to west go to west
<1517.0 second> 我以为是走两口呢
<1519.0 second> 后来我一看他第二段写
<1520.0 second> 的是里边有three ugly people
<1522.0 second> 有三个丑陋的人和一个handsome man
<1525.0 second> 和一个帅气的男人
<1526.0 second> 你说的西游记吧同学
<1528.0 second> 你要不会写西游记就不要推荐西游记
<1530.0 second> 听懂了吗
<1531.0 second> 那我推荐什么
<1533.0 second> 我推荐红楼梦啊
<1534.0 second> 呀红楼红楼梦也不会写
<1536.0 second> 我推荐小王子呀
<1537.0 second> 王子也不会写
<1539.0 second> 我推荐简爱
<1540.0 second> 呀简爱也不会写
<1541.0 second> 呀那我推荐什么刘老师
<1543.0 second> 我给你推荐一本书吧
<1545.0 second> 看着我的脸my mother
<1547.0 second> 我推荐一本书我的母亲不行吗
<1550.0 second> 你怎么是
<1551.0 second> 你怎么知道世界那么
<1553.0 second> 大没有我的母亲这本书
<1554.0 second> 你怎么知道没有我的母亲这本书
<1556.0 second> 你说吧你怎么知道没有
<1558.0 second> 听懂了吗
<1559.0 second> 对不对同学们
<1561.0 second> 比如说四级考的是
<1563.0 second> 写个报告
<1565.0 second> 什么写个报告新闻稿
<1566.0 second> 说你们帮助那个
<1567.0 second> 去你们社区访问那些老人
<1570.0 second> 你给社区写个报告
<1571.0 second> 说你们的活动很成功
<1572.0 second> 你们帮助老人做了什么事
<1576.0 second> 我们帮他们打扫了卫生
<1578.0 second> 并且包了饺子
<1580.0 second> 打扫卫生会写吗
<1582.0 second> 哎不会不会
<1583.0 second> 包饺子的包我也make dumplings
<1586.0 second> 诶dum dumpling也不会写内容
<1587.0 second> 那我们为他们做了什么事
<1588.0 second> 看着我的眼
<1590.0 second> 我们为他们剪了头发不行吗
<1592.0 second> 嘿嘿嘿这个可以
<1594.0 second> we cut hair for them
<1596.0 second> 我们为他们剪了头发
<1597.0 second> 并且为他们跳了舞and dance for them
<1600.0 second> 我们还带他们玩
<1601.0 second> we play with them
<1604.0 second> 我们还给他买了两条狗
<1606.0 second> we buy two dogs for them
<1610.0 second> 知道在说什么吗
<1611.0 second> 所以没有单词你不会写
<1613.0 second> 哦他推荐的专奇怪
<1615.0 second> 推荐的是2012哇塞
<1617.0 second> 推荐2012我的个天行
<1620.0 second> 我推荐2012
<1621.0 second> 我推荐2074
<1622.0 second> 你怎么知道没有一部电影叫2024
<1625.0 second> 管你什么事
<1626.0 second> 我想推荐什么推荐什么
<1628.0 second> 听懂了吗同学们
<1630.0 second> 对吗为老人做了什么事
<1631.0 second> 我说做了什么就做了什么事呀
<1633.0 second> 养宠物的优点
<1635.0 second> 啊养宠物一般都有缺点
<1637.0 second> 0级23年的同学
<1638.0 second> 养宠物缺点
<1640.0 second> 养宠物宠物掉毛
<1642.0 second> 你会写毛吗
<1643.0 second> 诶不会
<1645.0 second> 宠物叫叫也不会写
<1648.0 second> 宠物咬人
<1650.0 second> pets bite people
<1654.0 second> 同学们没有单词你不会写
<1656.0 second> 是你老逮着那个你不会的单词写
<1659.0 second> 是那吗写作主观性很强
<1662.0 second> 不会写的都避过去
<1664.0 second> 就写你会的
<1666.0 second> 简单句你一定能写对吧
<1668.0 second> 如果简单句都写不对
<1670.0 second> 对长难句写不好可以写简单句啊
<1672.0 second> 简单句是能表达我们所有思想的呀
<1675.0 second> 那刘老师中文写不来怎么办
<1677.0 second> 构思构思了半天
<1679.0 second> 去年的六级作文我都不知道怎么构思
<1682.0 second> 如果你写不来中文怎么办
<1684.0 second> 我教你一个方法行不行
<1687.0 second> 叫正反论证没听懂
<1690.0 second> 比如去年他们四级考的是
<1691.0 second> 你们大学图书馆应该对外开放吗
<1694.0 second> 来看着我脸
<1696.0 second> 你觉得大学图书馆
<1697.0 second> 应该对应该对外开放吗
<1698.0 second> 写一篇作文
<1700.0 second> 第一段你要说个人观点
<1702.0 second> 我认为大学图书馆应该对外开放
<1704.0 second> 或者我认为
<1705.0 second> 大学图书馆不应该对外开放
<1706.0 second> 第二段开始了
<1707.0 second> 看着我第二段
<1709.0 second> 什么正反论证就写
<1711.0 second> 如果大学图书馆对外开放了
<1714.0 second> 你看对
<1716.0 second> 先说正正面
<1718.0 second> 如果大学图书馆对外开放了
<1720.0 second> 就会有很多陌生人来到我们校园里边
<1724.0 second> 就会给学生带来很多
<1725.0 second> 很多不安定的因素
<1727.0 second> 不安定因素不会写
<1729.0 second> 就会让很多学生感到不安全
<1733.0 second> 好继续写
<1735.0 second> 如果大学图书馆不对外开放
<1738.0 second> 大学生们就能在校园
<1739.0 second> 里面安安静静的看书
<1741.0 second> 这是一个多么和谐的学习场景啊
<1744.0 second> 先说正的
<1745.0 second> 再说反的
<1746.0 second> 一般能写到三四十个单词
<1749.0 second> 你第二段不过
<1750.0 second> 不总总共才来六七十单词吗
<1752.0 second> 这一个原因都已经三四十单词了
<1754.0 second> 再来一遍好不好
<1756.0 second> 咱们六级考的我怎么忘了同学们
<1758.0 second> 我随便说好不好
<1759.0 second> 大学生为什么应该培养交流能力
<1763.0 second> 正反论证就
<1764.0 second> 如果大学生有了交流能力
<1766.0 second> 他们就能交到更多的朋友
<1769.0 second> 有着更多的朋友
<1771.0 second> 他们就学习得很开心呀
<1774.0 second> 如果大学生没有交流能力
<1776.0 second> 保持沉默
<1778.0 second> 他们就不能过一种
<1779.0 second> 更加和谐的校园生活哟
<1782.0 second> 所以我们大学生应该培养交流能力
<1785.0 second> 就五六十个单词了朋友们
<1786.0 second> 叫正反论证
<1787.0 second> 正面说了反面说
<1790.0 second> 正反论证
<1791.0 second> 还可以举例子
<1793.0 second> 为什么大学生应该培养交流能力
<1796.0 second> 我给你举个例子吧
<1797.0 second> 我有一个好朋友叫晓艳
<1799.0 second> 她是一个非常沉默的人以前
<1801.0 second> 从来不喜歡交朋友
<1802.0 second> 我都没见她笑过
<1804.0 second> 自从上了大学以后
<1805.0 second> 他看了很多的书
<1806.0 second> 变得越来越开放了
<1808.0 second> 现在有很多好朋友
<1810.0 second> 他的生活改进了很多
<1811.0 second> 并且每天都面带微笑
<1813.0 second> 这个交流能力很好的
<1814.0 second> 大学生培养交流能力很好的就瞎编
<1817.0 second> 全写成自己会的单词
<1819.0 second> 全写成自己会的语法好不好
<1822.0 second> 咱们的公众号那个
<1823.0 second> 晓艳工作室再说一遍
<1825.0 second> 有简单句的视频
<1827.0 second> 你自己去领取就行了
<1829.0 second> 我就不说了
<1830.0 second> 单词不会写
<1831.0 second> 换成自己会的单词
<1832.0 second> 论证不来
<1833.0 second> 正反两方面论证
<1835.0 second> 再加上举例子
<1837.0 second> 够了
<1839.0 second> 好嘞就说这么多
<1840.0 second> 翻译不好说
<1842.0 second> 因为翻译也是得需要幻灯片展示
<1845.0 second> 他们就记住一件事
<1846.0 second> 就是翻译单词不会写
<1848.0 second> 我怎么把话给写出来就行
<1849.0 second> 你怎么想把它给写出来就行了
<1851.0 second> 比如匠人精神
<1853.0 second> 匠人写成谁
<1855.0 second> 匠人精神
<1857.0 second> 匠人workers工人
<1862.0 second> 京杭大运河
<1863.0 second> 从北京到杭州的一条河
<1866.0 second> 是不是
<1868.0 second> 对了你就想怎么把它表达出来
<1870.0 second> 或者即便没表达出来
<1872.0 second> 让老师看不出来
<1873.0 second> 我喜欢刘晓艳和刘大艳
<1875.0 second> 大艳不会写
<1876.0 second> 我喜欢刘晓艳和铁锤
<1879.0 second> 听懂了吗同学们
<1880.0 second> 所以翻译你不要总觉得老师在用写
<1883.0 second> 放大镜在看你每个字
<1885.0 second> 老师改卷很快的翻译
<1888.0 second> 哇塞五六分钟
<1890.0 second> 那一上午一下午都得改
<1893.0 second> 至少得2000份卷子吧
<1895.0 second> 他改得很快
<1897.0 second> 他看不说
<1898.0 second> 所以你要很聪明给他绕过去
<1901.0 second> 又让老师看不出来
<1903.0 second> 我告诉你
<1904.0 second> 翻译和写作最重要的
<1905.0 second> 是单词和语法没有错
<1907.0 second> 单词语法没有错都已经很好了
<1909.0 second> 好不好同学
<1911.0 second> 对想要高级
<1912.0 second> 咱们在保命班里边会讲到
<1914.0 second> 如果你要相信我的话
<1916.0 second> 同学们在考前
<1917.0 second> 在听我讲保命班之前
<1919.0 second> 任何人都不需要
<1924.0 second> 你要听相信我的
<1925.0 second> 翻译写作不需要做
<1926.0 second> 就听我讲保命班
<1927.0 second> 听完我以后
<1929.0 second> 把写作用我的方法写三四篇文章
<1932.0 second> 翻译写三四篇文章就可以进考场
<1934.0 second> 现在不用管写作和翻译
<1936.0 second> 好不好同学
